> cat("bert_msr_bert_msr:",bert_msr_bert_msr)
bert_msr_udel_neg: Strong Evidence for effect (different distributions)  (BF = 74.6560497829114 )> cat("bert_msr_udel_wsj:",bert_msr_udel_wsj)
bert_msr_udel_wsj: Strong Evidence for effect (different distributions)  (BF = 23.0508548545394 )> cat("bert_neg_bert_msr:",bert_neg_bert_msr)
bert_neg_bert_msr: No evidence for no effect (same distribution)  (BF = 1.02249972758589 )> cat("bert_neg_bert_neg:",bert_neg_bert_neg)
bert_neg_bert_neg: Strong Evidence for no effect (same distribution)  (BF = 114.658374210777 )> cat("bert_neg_bert_wsj:",bert_neg_bert_wsj)
bert_neg_bert_wsj: Positive Evidence for no effect (same distribution)  (BF = 13.7247912622057 )> cat("bert_neg_cnts_msr:",bert_neg_cnts_msr)
bert_neg_cnts_msr: Strong Evidence for effect (different distributions)  (BF = 55.0783398418435 )> cat("bert_neg_cnts_neg:",bert_neg_cnts_neg)
bert_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 85.0802555577269 )> cat("bert_neg_cnts_wsj:",bert_neg_cnts_wsj)
bert_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 24864234.0952758 )> cat("bert_neg_icsi_msr:",bert_neg_icsi_msr)
bert_neg_icsi_msr: No evidence for effect (different distributions)  (BF = 1.64543617709571 )> cat("bert_neg_icsi_neg:",bert_neg_icsi_neg)
bert_neg_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 23.3523659458489 )> cat("bert_neg_icsi_wsj:",bert_neg_icsi_wsj)
bert_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 8676822.01026632 )> cat("bert_neg_isg_msr:",bert_neg_isg_msr)
bert_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 813.551486791584 )> cat("bert_neg_isg_neg:",bert_neg_isg_neg)
bert_neg_isg_neg: Strong Evidence for no effect (same distribution)  (BF = 103.895612529122 )> cat("bert_neg_isg_wsj:",bert_neg_isg_wsj)
bert_neg_isg_wsj: Strong Evidence for effect (different distributions)  (BF = 97.5485376835733 )> cat("bert_neg_osu_msr:",bert_neg_osu_msr)
bert_neg_osu_msr: Strong Evidence for effect (different distributions)  (BF = 143.184832079704 )> cat("bert_neg_osu_neg:",bert_neg_osu_neg)
bert_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 57.3364917794218 )> cat("bert_neg_osu_wsj:",bert_neg_osu_wsj)
bert_neg_osu_wsj: Strong Evidence for effect (different distributions)  (BF = 85.2466504391539 )> cat("bert_neg_roberta_msr:",bert_neg_roberta_msr)
bert_neg_roberta_msr: No evidence for effect (different distributions)  (BF = 2.28827750933574 )> cat("bert_neg_roberta_neg:",bert_neg_roberta_neg)
bert_neg_roberta_neg: Positive Evidence for no effect (same distribution)  (BF = 16.1741002317321 )> cat("bert_neg_roberta_wsj:",bert_neg_roberta_wsj)
bert_neg_roberta_wsj: No evidence for no effect (same distribution)  (BF = 2.32494865954301 )> cat("bert_neg_udel_msr:",bert_neg_udel_msr)
bert_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 1176.77262352307 )> cat("bert_neg_udel_neg:",bert_neg_udel_neg)
bert_neg_udel_neg: Positive Evidence for no effect (same distribution)  (BF = 16.1741002317321 )> cat("bert_neg_udel_wsj:",bert_neg_udel_wsj)
bert_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 142427197.97802 )> cat("bert_wsj_bert_msr:",bert_wsj_bert_msr)
bert_wsj_bert_msr: Very Strong Evidence for effect (different distributions)  (BF = 1473.29575645283 )> cat("bert_wsj_bert_neg:",bert_wsj_bert_neg)
bert_wsj_bert_neg: Positive Evidence for no effect (same distribution)  (BF = 13.7247912622057 )> cat("bert_wsj_bert_wsj:",bert_wsj_bert_wsj)
bert_wsj_bert_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 1820.8046070228 )> cat("bert_wsj_cnts_msr:",bert_wsj_cnts_msr)
bert_wsj_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 15818231.8504823 )> cat("bert_wsj_cnts_neg:",bert_wsj_cnts_neg)
bert_wsj_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 33.5731456526602 )> cat("bert_wsj_cnts_wsj:",bert_wsj_cnts_wsj)
bert_wsj_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 5.32761409310879e+23 )> cat("bert_wsj_icsi_msr:",bert_wsj_icsi_msr)
bert_wsj_icsi_msr: Very Strong Evidence for effect (different distributions)  (BF = 5148.58645639351 )> cat("bert_wsj_icsi_neg:",bert_wsj_icsi_neg)
bert_wsj_icsi_neg: Very Strong Evidence for no effect (same distribution)  (BF = 207.323141143927 )> cat("bert_wsj_icsi_wsj:",bert_wsj_icsi_wsj)
bert_wsj_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 4.51801411988758e+22 )> cat("bert_wsj_isg_msr:",bert_wsj_isg_msr)
bert_wsj_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 4947564063.65857 )> cat("bert_wsj_isg_neg:",bert_wsj_isg_neg)
bert_wsj_isg_neg: Positive Evidence for no effect (same distribution)  (BF = 8.8126118094817 )> cat("bert_wsj_isg_wsj:",bert_wsj_isg_wsj)
bert_wsj_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 21202890204.7854 )> cat("bert_wsj_osu_msr:",bert_wsj_osu_msr)
bert_wsj_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 125371246.357669 )> cat("bert_wsj_osu_neg:",bert_wsj_osu_neg)
bert_wsj_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 60.5241679860553 )> cat("bert_wsj_osu_wsj:",bert_wsj_osu_wsj)
bert_wsj_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 14839300961.8296 )> cat("bert_wsj_roberta_msr:",bert_wsj_roberta_msr)
bert_wsj_roberta_msr: Very Strong Evidence for effect (different distributions)  (BF = 11305.6239659108 )> cat("bert_wsj_roberta_neg:",bert_wsj_roberta_neg)
bert_wsj_roberta_neg: Very Strong Evidence for no effect (same distribution)  (BF = 291.797323215553 )> cat("bert_wsj_roberta_wsj:",bert_wsj_roberta_wsj)
bert_wsj_roberta_wsj: Strong Evidence for no effect (same distribution)  (BF = 126.141522158713 )> cat("bert_wsj_udel_msr:",bert_wsj_udel_msr)
bert_wsj_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 10669702927.9853 )> cat("bert_wsj_udel_neg:",bert_wsj_udel_neg)
bert_wsj_udel_neg: Very Strong Evidence for no effect (same distribution)  (BF = 291.797323215553 )> cat("bert_wsj_udel_wsj:",bert_wsj_udel_wsj)
bert_wsj_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3.19594955223058e+25 )> cat("cnts_msr_bert_msr:",cnts_msr_bert_msr)
cnts_msr_bert_msr: Positive Evidence for no effect (same distribution)  (BF = 15.2390888333267 )> cat("cnts_msr_bert_neg:",cnts_msr_bert_neg)
cnts_msr_bert_neg: Strong Evidence for effect (different distributions)  (BF = 55.0783398418435 )> cat("cnts_msr_bert_wsj:",cnts_msr_bert_wsj)
cnts_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 15818231.8504823 )> cat("cnts_msr_cnts_msr:",cnts_msr_cnts_msr)
cnts_msr_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 101.196506506468 )> cat("cnts_msr_cnts_neg:",cnts_msr_cnts_neg)
cnts_msr_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 284.959519430167 )> cat("cnts_msr_cnts_wsj:",cnts_msr_cnts_wsj)
cnts_msr_cnts_wsj: Positive Evidence for no effect (same distribution)  (BF = 5.06113907272431 )> cat("cnts_msr_icsi_msr:",cnts_msr_icsi_msr)
cnts_msr_icsi_msr: Strong Evidence for no effect (same distribution)  (BF = 22.2121812430003 )> cat("cnts_msr_icsi_neg:",cnts_msr_icsi_neg)
cnts_msr_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 11617.4538930839 )> cat("cnts_msr_icsi_wsj:",cnts_msr_icsi_wsj)
cnts_msr_icsi_wsj: Positive Evidence for no effect (same distribution)  (BF = 6.96089180421007 )> cat("cnts_msr_isg_msr:",cnts_msr_isg_msr)
cnts_msr_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 48.7985918708782 )> cat("cnts_msr_isg_neg:",cnts_msr_isg_neg)
cnts_msr_isg_neg: Strong Evidence for effect (different distributions)  (BF = 26.2670152105443 )> cat("cnts_msr_isg_wsj:",cnts_msr_isg_wsj)
cnts_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 149.228393104488 )> cat("cnts_msr_osu_msr:",cnts_msr_osu_msr)
cnts_msr_osu_msr: Strong Evidence for no effect (same distribution)  (BF = 88.3927686657767 )> cat("cnts_msr_osu_neg:",cnts_msr_osu_neg)
cnts_msr_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 893.156493658347 )> cat("cnts_msr_osu_wsj:",cnts_msr_osu_wsj)
cnts_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 142.244572799583 )> cat("cnts_msr_roberta_msr:",cnts_msr_roberta_msr)
cnts_msr_roberta_msr: Strong Evidence for no effect (same distribution)  (BF = 27.7975117955421 )> cat("cnts_msr_roberta_neg:",cnts_msr_roberta_neg)
cnts_msr_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 36167.2263922246 )> cat("cnts_msr_roberta_wsj:",cnts_msr_roberta_wsj)
cnts_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 23221031964.3881 )> cat("cnts_msr_udel_msr:",cnts_msr_udel_msr)
cnts_msr_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 42.355057399287 )> cat("cnts_msr_udel_neg:",cnts_msr_udel_neg)
cnts_msr_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 36167.2263922246 )> cat("cnts_msr_udel_wsj:",cnts_msr_udel_wsj)
cnts_msr_udel_wsj: No evidence for no effect (same distribution)  (BF = 2.97916338394849 )> cat("cnts_neg_bert_msr:",cnts_neg_bert_msr)
cnts_neg_bert_msr: No evidence for effect (different distributions)  (BF = 2.79667728427657 )> cat("cnts_neg_bert_neg:",cnts_neg_bert_neg)
cnts_neg_bert_neg: Strong Evidence for no effect (same distribution)  (BF = 85.0802555577269 )> cat("cnts_neg_bert_wsj:",cnts_neg_bert_wsj)
cnts_neg_bert_wsj: Strong Evidence for no effect (same distribution)  (BF = 33.5731456526602 )> cat("cnts_neg_cnts_msr:",cnts_neg_cnts_msr)
cnts_neg_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 284.959519430167 )> cat("cnts_neg_cnts_neg:",cnts_neg_cnts_neg)
cnts_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 120.790482335523 )> cat("cnts_neg_cnts_wsj:",cnts_neg_cnts_wsj)
cnts_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 689802474.475229 )> cat("cnts_neg_icsi_msr:",cnts_neg_icsi_msr)
cnts_neg_icsi_msr: Positive Evidence for effect (different distributions)  (BF = 5.10760018236462 )> cat("cnts_neg_icsi_neg:",cnts_neg_icsi_neg)
cnts_neg_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 49.2743653444148 )> cat("cnts_neg_icsi_wsj:",cnts_neg_icsi_wsj)
cnts_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 220109223.21707 )> cat("cnts_neg_isg_msr:",cnts_neg_isg_msr)
cnts_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 5792.48257570661 )> cat("cnts_neg_isg_neg:",cnts_neg_isg_neg)
cnts_neg_isg_neg: Strong Evidence for no effect (same distribution)  (BF = 61.5311818942602 )> cat("cnts_neg_isg_wsj:",cnts_neg_isg_wsj)
cnts_neg_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 721.011690412583 )> cat("cnts_neg_osu_msr:",cnts_neg_osu_msr)
cnts_neg_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 834.840592225503 )> cat("cnts_neg_osu_neg:",cnts_neg_osu_neg)
cnts_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 106.634364413874 )> cat("cnts_neg_osu_wsj:",cnts_neg_osu_wsj)
cnts_neg_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 618.227054443967 )> cat("cnts_neg_roberta_msr:",cnts_neg_roberta_msr)
cnts_neg_roberta_msr: Positive Evidence for effect (different distributions)  (BF = 7.48285569864406 )> cat("cnts_neg_roberta_neg:",cnts_neg_roberta_neg)
cnts_neg_roberta_neg: Strong Evidence for no effect (same distribution)  (BF = 34.1257159155011 )> cat("cnts_neg_roberta_wsj:",cnts_neg_roberta_wsj)
cnts_neg_roberta_wsj: Positive Evidence for no effect (same distribution)  (BF = 6.2179833938404 )> cat("cnts_neg_udel_msr:",cnts_neg_udel_msr)
cnts_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 8720.21965026868 )> cat("cnts_neg_udel_neg:",cnts_neg_udel_neg)
cnts_neg_udel_neg: Strong Evidence for no effect (same distribution)  (BF = 34.1257159155011 )> cat("cnts_neg_udel_wsj:",cnts_neg_udel_wsj)
cnts_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 4563116747.35201 )> cat("cnts_wsj_bert_msr:",cnts_wsj_bert_msr)
cnts_wsj_bert_msr: Positive Evidence for effect (different distributions)  (BF = 9.46348690196348 )> cat("cnts_wsj_bert_neg:",cnts_wsj_bert_neg)
cnts_wsj_bert_neg: Very Strong Evidence for effect (different distributions)  (BF = 24864234.0952758 )> cat("cnts_wsj_bert_wsj:",cnts_wsj_bert_wsj)
cnts_wsj_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 5.32761409310879e+23 )> cat("cnts_wsj_cnts_msr:",cnts_wsj_cnts_msr)
cnts_wsj_cnts_msr: Positive Evidence for no effect (same distribution)  (BF = 5.06113907272431 )> cat("cnts_wsj_cnts_neg:",cnts_wsj_cnts_neg)
cnts_wsj_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 689802474.475229 )> cat("cnts_wsj_cnts_wsj:",cnts_wsj_cnts_wsj)
cnts_wsj_cnts_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 488.992231567744 )> cat("cnts_wsj_icsi_msr:",cnts_wsj_icsi_msr)
cnts_wsj_icsi_msr: Positive Evidence for effect (different distributions)  (BF = 4.43322682668248 )> cat("cnts_wsj_icsi_neg:",cnts_wsj_icsi_neg)
cnts_wsj_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 834985125184.765 )> cat("cnts_wsj_icsi_wsj:",cnts_wsj_icsi_wsj)
cnts_wsj_icsi_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 424.325567555995 )> cat("cnts_wsj_isg_msr:",cnts_wsj_isg_msr)
cnts_wsj_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 20.9034984744447 )> cat("cnts_wsj_isg_neg:",cnts_wsj_isg_neg)
cnts_wsj_isg_neg: Very Strong Evidence for effect (different distributions)  (BF = 5297881.85231437 )> cat("cnts_wsj_isg_wsj:",cnts_wsj_isg_wsj)
cnts_wsj_isg_wsj: No evidence for no effect (same distribution)  (BF = 1.71843089872786 )> cat("cnts_wsj_osu_msr:",cnts_wsj_osu_msr)
cnts_wsj_osu_msr: Positive Evidence for no effect (same distribution)  (BF = 8.73450775029653 )> cat("cnts_wsj_osu_neg:",cnts_wsj_osu_neg)
cnts_wsj_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 6463968803.82137 )> cat("cnts_wsj_osu_wsj:",cnts_wsj_osu_wsj)
cnts_wsj_osu_wsj: No evidence for no effect (same distribution)  (BF = 1.55329518105017 )> cat("cnts_wsj_roberta_msr:",cnts_wsj_roberta_msr)
cnts_wsj_roberta_msr: No evidence for effect (different distributions)  (BF = 2.90558520337783 )> cat("cnts_wsj_roberta_neg:",cnts_wsj_roberta_neg)
cnts_wsj_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 6774827424215.67 )> cat("cnts_wsj_roberta_wsj:",cnts_wsj_roberta_wsj)
cnts_wsj_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3.74694741019261e+30 )> cat("cnts_wsj_udel_msr:",cnts_wsj_udel_msr)
cnts_wsj_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 24.8663199629666 )> cat("cnts_wsj_udel_neg:",cnts_wsj_udel_neg)
cnts_wsj_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 6774827424215.67 )> cat("cnts_wsj_udel_wsj:",cnts_wsj_udel_wsj)
cnts_wsj_udel_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 343.752463218428 )> cat("icsi_msr_bert_msr:",icsi_msr_bert_msr)
icsi_msr_bert_msr: Strong Evidence for no effect (same distribution)  (BF = 100.597436784366 )> cat("icsi_msr_bert_neg:",icsi_msr_bert_neg)
icsi_msr_bert_neg: No evidence for effect (different distributions)  (BF = 1.64543617709571 )> cat("icsi_msr_bert_wsj:",icsi_msr_bert_wsj)
icsi_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 5148.58645639351 )> cat("icsi_msr_cnts_msr:",icsi_msr_cnts_msr)
icsi_msr_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 22.2121812430003 )> cat("icsi_msr_cnts_neg:",icsi_msr_cnts_neg)
icsi_msr_cnts_neg: Positive Evidence for effect (different distributions)  (BF = 5.10760018236462 )> cat("icsi_msr_cnts_wsj:",icsi_msr_cnts_wsj)
icsi_msr_cnts_wsj: Positive Evidence for effect (different distributions)  (BF = 4.43322682668248 )> cat("icsi_msr_icsi_msr:",icsi_msr_icsi_msr)
icsi_msr_icsi_msr: Strong Evidence for no effect (same distribution)  (BF = 110.009858010603 )> cat("icsi_msr_icsi_neg:",icsi_msr_icsi_neg)
icsi_msr_icsi_neg: Strong Evidence for effect (different distributions)  (BF = 73.9234889896921 )> cat("icsi_msr_icsi_wsj:",icsi_msr_icsi_wsj)
icsi_msr_icsi_wsj: No evidence for effect (different distributions)  (BF = 2.75600416981083 )> cat("icsi_msr_isg_msr:",icsi_msr_isg_msr)
icsi_msr_isg_msr: Positive Evidence for no effect (same distribution)  (BF = 6.56901270894695 )> cat("icsi_msr_isg_neg:",icsi_msr_isg_neg)
icsi_msr_isg_neg: No evidence for no effect (same distribution)  (BF = 1.00435836033304 )> cat("icsi_msr_isg_wsj:",icsi_msr_isg_wsj)
icsi_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 41.3252188028304 )> cat("icsi_msr_osu_msr:",icsi_msr_osu_msr)
icsi_msr_osu_msr: Positive Evidence for no effect (same distribution)  (BF = 14.1293614927903 )> cat("icsi_msr_osu_neg:",icsi_msr_osu_neg)
icsi_msr_osu_neg: Positive Evidence for effect (different distributions)  (BF = 11.434919028683 )> cat("icsi_msr_osu_wsj:",icsi_msr_osu_wsj)
icsi_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 44.2707303761603 )> cat("icsi_msr_roberta_msr:",icsi_msr_roberta_msr)
icsi_msr_roberta_msr: Strong Evidence for no effect (same distribution)  (BF = 105.604240191149 )> cat("icsi_msr_roberta_neg:",icsi_msr_roberta_neg)
icsi_msr_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 172.707070360535 )> cat("icsi_msr_roberta_wsj:",icsi_msr_roberta_wsj)
icsi_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1355032.24833222 )> cat("icsi_msr_udel_msr:",icsi_msr_udel_msr)
icsi_msr_udel_msr: Positive Evidence for no effect (same distribution)  (BF = 5.61105925385356 )> cat("icsi_msr_udel_neg:",icsi_msr_udel_neg)
icsi_msr_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 172.707070360535 )> cat("icsi_msr_udel_wsj:",icsi_msr_udel_wsj)
icsi_msr_udel_wsj: Positive Evidence for effect (different distributions)  (BF = 10.0390107371699 )> cat("icsi_neg_bert_msr:",icsi_neg_bert_msr)
icsi_neg_bert_msr: Strong Evidence for effect (different distributions)  (BF = 33.6888174399737 )> cat("icsi_neg_bert_neg:",icsi_neg_bert_neg)
icsi_neg_bert_neg: Strong Evidence for no effect (same distribution)  (BF = 23.3523659458489 )> cat("icsi_neg_bert_wsj:",icsi_neg_bert_wsj)
icsi_neg_bert_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 207.323141143927 )> cat("icsi_neg_cnts_msr:",icsi_neg_cnts_msr)
icsi_neg_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 11617.4538930839 )> cat("icsi_neg_cnts_neg:",icsi_neg_cnts_neg)
icsi_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 49.2743653444148 )> cat("icsi_neg_cnts_wsj:",icsi_neg_cnts_wsj)
icsi_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 834985125184.765 )> cat("icsi_neg_icsi_msr:",icsi_neg_icsi_msr)
icsi_neg_icsi_msr: Strong Evidence for effect (different distributions)  (BF = 73.9234889896921 )> cat("icsi_neg_icsi_neg:",icsi_neg_icsi_neg)
icsi_neg_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 134.81646918397 )> cat("icsi_neg_icsi_wsj:",icsi_neg_icsi_wsj)
icsi_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 224811839679.003 )> cat("icsi_neg_isg_msr:",icsi_neg_isg_msr)
icsi_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 438186.344602528 )> cat("icsi_neg_isg_neg:",icsi_neg_isg_neg)
icsi_neg_isg_neg: Positive Evidence for no effect (same distribution)  (BF = 16.164425078301 )> cat("icsi_neg_isg_wsj:",icsi_neg_isg_wsj)
icsi_neg_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 69790.000064768 )> cat("icsi_neg_osu_msr:",icsi_neg_osu_msr)
icsi_neg_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 42931.8885338497 )> cat("icsi_neg_osu_neg:",icsi_neg_osu_neg)
icsi_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 77.7782461267579 )> cat("icsi_neg_osu_wsj:",icsi_neg_osu_wsj)
icsi_neg_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 57693.6031432142 )> cat("icsi_neg_roberta_msr:",icsi_neg_roberta_msr)
icsi_neg_roberta_msr: Strong Evidence for effect (different distributions)  (BF = 121.182474938014 )> cat("icsi_neg_roberta_neg:",icsi_neg_roberta_neg)
icsi_neg_roberta_neg: Strong Evidence for no effect (same distribution)  (BF = 123.750238206965 )> cat("icsi_neg_roberta_wsj:",icsi_neg_roberta_wsj)
icsi_neg_roberta_wsj: Strong Evidence for no effect (same distribution)  (BF = 35.0207364214403 )> cat("icsi_neg_udel_msr:",icsi_neg_udel_msr)
icsi_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 712445.250739433 )> cat("icsi_neg_udel_neg:",icsi_neg_udel_neg)
icsi_neg_udel_neg: Strong Evidence for no effect (same distribution)  (BF = 123.750238206965 )> cat("icsi_neg_udel_wsj:",icsi_neg_udel_wsj)
icsi_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 7260783688453.01 )> cat("icsi_wsj_bert_msr:",icsi_wsj_bert_msr)
icsi_wsj_bert_msr: Positive Evidence for effect (different distributions)  (BF = 5.63252611427211 )> cat("icsi_wsj_bert_neg:",icsi_wsj_bert_neg)
icsi_wsj_bert_neg: Very Strong Evidence for effect (different distributions)  (BF = 8676822.01026632 )> cat("icsi_wsj_bert_wsj:",icsi_wsj_bert_wsj)
icsi_wsj_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 4.51801411988758e+22 )> cat("icsi_wsj_cnts_msr:",icsi_wsj_cnts_msr)
icsi_wsj_cnts_msr: Positive Evidence for no effect (same distribution)  (BF = 6.96089180421007 )> cat("icsi_wsj_cnts_neg:",icsi_wsj_cnts_neg)
icsi_wsj_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 220109223.21707 )> cat("icsi_wsj_cnts_wsj:",icsi_wsj_cnts_wsj)
icsi_wsj_cnts_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 424.325567555995 )> cat("icsi_wsj_icsi_msr:",icsi_wsj_icsi_msr)
icsi_wsj_icsi_msr: No evidence for effect (different distributions)  (BF = 2.75600416981083 )> cat("icsi_wsj_icsi_neg:",icsi_wsj_icsi_neg)
icsi_wsj_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 224811839679.003 )> cat("icsi_wsj_icsi_wsj:",icsi_wsj_icsi_wsj)
